pincode,lat,long,label,link
200116,7.429863,3.837611,"Vanguard Pharmacy, Abayomi Shopping Complex, New Eleyele Road, Ologuneru, Ibadan, Oyo State; Call 08054068710; RV available",
230284,7.784443,4.534493,"Vanguard Pharmacy, Opposite Technical College, Beside Omobolanle Filling Station, Iwo-Ibadan Road, Osogbo, Osun State; Call 08054068710; RV available",
110252,7.135123,3.337325,"Vanguard Pharmacy, Beside ZenithBank, 38 Lalubu Street, Oke Ilewo Ibara, Abeokuta, Ogun State; Call 08054068710; RV available",
340110,7.295598,5.149356,"University Health Center, South Gare, FUTA, Oduduwa Road, Ita Oniyan; Email healthcenter@futa.edu; RV available",
200132,7.442518,3.900937,"Jaja Clinic, 1 Jaja Avenue, University of Ibadan, Oyo 200132 ; Call +2348033272111, Email dir_uhs@mail1.ui.edu.ng; RV available",
111101,7.176094,3.385143,"Vanguard Pharmacy, KM2, Next to Muda Lawal Stadium, Asero, Abeokuta, Ogun State; Call +2348054068710; RV available",
200273,7.346283,3.847531,"Emcare Pharmacy and Store, Alao Akala Expressway, Oluyole, Ibadan, Oyo State; Call +2348120617353; RV available",
200285,7.402707,3.903765,"University College Hospital, Queen Elizabeth II road, Agodi, Ibadan, Oyo; Call +2348086739187; RV available",
212102,8.151256,4.251461,"Akol Pharmacy, Olukoko Street, Sabo, Ogbomosho, Oyo; Call +2347065866723; RV available",
341105,7.213733,5.599423,"Owo federal Medical Center, Owo, Ondo; Call +234835094545; RV available",
111102,7.137326,3.338847,"Precious Pharmacy, No 47, Olusegun Osoba Way, Oke-Ilewo Road, Abeokuta, Ogun State; Call + 2347044835544; Email info@preciouspharmacy.com; RV available",
111102,7.143735,3.371589,"Precious Pharmacy, 65 Olabisi Onabanjo Way, Iyana Mortuary Junction, Ijaye, Abeokuta, Ogun; Call +2347044835544; RV available",
111101,7.166161,3.372554,"Precious Pharmacy, Abiola Way, Asero, Abeokuta, Ogun State; Call +2347044835544; RV available",
111101,7.156696,3.338359,"Precious Pharmacy, 100 Lafenwa rd, Ikoku, Abeokuta, Ogun State; call + 2348037161585; RV available",
240222,8.478365,4.562425,"Aromokeye Pharmacy, Opposite A Division , Olohun Losheyi shopping Complex, Muritala Muhammed Way, Ilorin, Kwara; Call: +2348038082055; RV available ",
240101,8.496415,4.556154,"Aromokeye Pharmacy, 88 Balogun Fulani Road, Oko Erin, Kwara; Call: +2348038195896; RV available",
961101,8.847279,7.883735,"Ben Jonalson Pharmacy, Maizobo Street, Keffi, Nasarawa State; Call: 09069106531; 08176489887; RV available",
961105,9.006377,7.661328,"La Med Pharmacy, Nyanya Gwandara Primary School, Along Karu Keffi Road, Nyanyan, New Karu; RV available",
840283,13.054079,5.246989,"Zumunchi Pharmacy Ltd, 45 Sultan Abubakar Rd, Marina, Sokoto, Sokoto State; RV available",
212102,8.135435,4.232886,"Pharmacy Unit, Bowen University Teaching Hospital, osupa 4, Ogbomosho North, Oyo State; Call: +2347066568480; RV available",
961101,8.846825,7.882215,"Minaco Pharmacy and Co Ltd, M.C.Yamusa II Rd, Opp. Access Bank, Keffi, Nasarawa State; Call: +2348065996225; RV available",
961101,8.847567,7.883031,"Celex-Collins Pharmacy, Keffi, Nasarawa; Call: +2348036747345, +2347069611864; RV available",
840103,13.033593,5.226902,"Muzdalifa Pharmacy, Kalambaina Rd, Mabera Mujaya, Sokoto, Sokoto State; Call: +2348064469226; RV available",
840283,13.033515,5.241797,"Raudah Pharmacy, No 4-5, Sultan Abubakar Rd, Opp City Campus, Mabera, Sokoto; Call: +2348125150448; RV available",
840103,13.032367,5.224006,"Medicine Plus Pharmacy, Mabera, Sokoto; Call: +2348168553161; RV available",
105102,6.635099,3.374934,"Westgate Lifecare Pharmacy, 1 The Apostolic Church Close, Olowaora Isheri, Lagos; Call: +2349060006650; http://www.westgatelifecare.com.ng; RV available",
440236,5.522424,7.493765,"Federal Medical Center, Aba road, Opp Guaranty Trust Bank, Umu Obasi, Umuahia, Abia; Call: +2348038089468; RV available",
950101,8.496206,8.516387,"Horse Power Pharmacy, No.1 UAC Road, Lafia, Nasarawa; Call: +2348036461970; RV available",
950101,8.498528,8.517163,"Lamb of God Pharmaceutical Chemist Ltd, Total Junction, Along Shendam Road, Beside CBN, Lafia, Nasarawa; RV available ",
950101,8.496681,8.514393,"IYKE Dynamic Pharmacy, No. 23, UAC Road, Lafia, Nasarawa; Call: +2348067404372; RV available",
904101,9.083526,7.468826,"SuperPharma, 741 Aminu Kano Crescent, Wuse, Abuja, FCT; Call: +2349055550050; RV available",
360102,7.663074,5.235729,"Aromokeye Pharmacy, Olohunloseyi Shopping Plaza, Km3 Adehun Area, Ado-Iworoko-Ifaki Road, Ado Ikiti; https://maps.app.goo.gl/XfuGX5ND2JG574C86; Call:  +234803 042 1279; RV available",
360101,7.599016,5.222662,"Tolu Pakad Pharmacy, 86 Adebayo Street, Ado Ekiti, Ekiti; Call: +2348034174043;RV available",
360102,7.639566,5.220513,"Tolu Pakkad Pharmacy and Stores, No 60, University Teaching Hospital road, Ado Ekiti; Call: +2348035774907; RV available",
600211,11.825686,13.17809,"Rata Pharmacy, Opp. Maiduguri University Teaching Hospital, Maiduguri, Borno State; RV available",
600104,11.819984,13.17822,"Elim Pharmacy, 1 Lagos Street, Gwange, Maiduguri, Borno State; RV available",
970101,7.72737,8.56857,"Benue State University Teaching Hospital, 3 Makurdi-Gboko Rd, Walmayo, Makurdi, Benue; RV and RIG available",https://maps.app.goo.gl/g8QUg4x1uzu2ig3u5
