pincode,lat,long,label,link,rig
500101,4.80043,7.01087,"Alpha Pharmacy & Stores, 59 Ogbunabali Road, Old Port Harcourt Twp, Port Harcourt, Rivers; Call: Call centre: 01-2704374 Tel.: 0908 476 8604; RV available",https://maps.app.goo.gl/2jo3aouNQV5qBmjs5,0
500272,4.87352,6.96091,"Alpha Pharmacy & Stores, Plot 5 Rumuchindah Cl, Mgbuoba, Port Harcourt, Rivers; Call: 0908 476 8601; RV available",https://maps.app.goo.gl/b5xojJjUo7WK3PXH7,0
500271,4.82702,6.99381,"Alpha Pharmacy & Stores, 4F/A Sani Abacha Road, GRA phase 3 Port Harcourt Old, Township, Port Harcourt, Rivers; Call: 0906 942 2440; RV available",https://maps.app.goo.gl/o1soCuUM1CRCkHeM9,0
400102,6.44028,7.52839,"Alpha Pharmacy, 32 Edinburgh Road, Independence Layout, Enugu; Call: 0809 834 6916, 0906 244 0942; RV available",https://maps.app.goo.gl/iWmKC8GzJALCPzNg7,0
400107,6.42156,7.49131,"Alpha Pharmacy & Stores, 105 Agbani Rd, Achara, Enugu; Call: 0906 244 0949; RV available",https://maps.app.goo.gl/PvuQxfos5AFjYzyKA,0
102214,6.55301,3.33151,"Alpha Pharmacy & Stores, 8 Asa-Afariogun St, Isolo, Lagos; Call:  0906 000 9815, 0906 244 0938; RV available",https://maps.app.goo.gl/x1Uwsqm3XfN9xVdG9,0
105102,6.58747,3.39348,"Alpha Pharmacy & Store, Supersaver Stores, 8 Ajiboye St, Alapere, Lagos; Call: 0816 056 9402   Email: alphaalapere@alphapharmacyltd.com; RV available",https://maps.app.goo.gl/gXWFMedRdTP2oeLP8,0
101233,6.59659,3.35219,"Alpha Pharmacy, 2B Alabi St, off Toyin St, Ikeja; Call: +2348134041020, Email: alphapharmacy.com.ng; RV available",https://maps.app.goo.gl/aD8RoKAZpgB4iKP77,0
500272,4.87125,6.95965,"Alpha Pharmacy & Stores, Plot 5 Rumuchindah Cl, Mgbuoba, Port Harcourt, Rivers; Call: 09084768601; RV available",https://maps.app.goo.gl/9C7WRKMgEFZofdxE8,0
500271,4.81987,6.99489,"Alpha Pharmacy &Stores, 4F/A Sani Abacha Road, GRA phase 3 Port Harcourt Old, Township, Port Harcourt, Rivers; Call: 08069049125; RV available",https://maps.app.goo.gl/ZfBRvRF5C2g8LkYB7,0
500101,4.76181,7.01795,"Goldsparkle Pharmacy, 11 Aggrey Rd, Port Harcourt, Rivers; Call: 08033443428; RV available",https://maps.app.goo.gl/RBtzGoTn3jMuj4Wv7,0
500272,4.82504,6.98644,"Primacare Pharmacy, 1 Nyenweli O.N. Nsirim Layout, New GRA, Port Harcourt, Rivers; Call:  08033240657; RV available",https://maps.app.goo.gl/qRdoAByuBVfCdMU77,0
500102,4.87257,6.95095,"Mendel's Pharmacy, West Gold Mall, By Obiri Ikwerre Junction, NTA Road, Ozuoba, Port Harcourt; Call: 08052636118; RV available",https://maps.app.goo.gl/91WhsqHuL2exqhhd9,0
500101,4.77684,7.01389,"Medplus Pharmacy, Spar Mall, 1 Azikiwe Rd, Port Harcourt, Rivers; Call: 09082899870; RV available",https://maps.app.goo.gl/DaC45y6mLtfBd5fa6,0
500101,4.82004,7.02344,"Wincare Pharmacy, 94 Elekahia Rd, Elekahia, Port Harcourt, Rivers; Call: 08036687187; RV available",https://maps.app.goo.gl/4a6Aao1rT5ssK6nV7,0
